scenario_id,application_id,test_dimension,hard_or_quality,expected,evidence_required
GS-13,SME-L013,provenance,QUALITY,PASS,decision trace + UI/tool evidence
GS-13,SME-L013,policy,HARD,PASS,decision trace + UI/tool evidence
GS-13,SME-L013,human_gate,HARD,PASS,decision trace + UI/tool evidence
GS-13,SME-L013,audit_trace,QUALITY,PASS,decision trace + UI/tool evidence
GS-14,SME-L014,context,QUALITY,PASS,decision trace + UI/tool evidence
GS-14,SME-L014,provenance,QUALITY,PASS,decision trace + UI/tool evidence
GS-14,SME-L014,policy,HARD,PASS,decision trace + UI/tool evidence
GS-14,SME-L014,human_gate,HARD,PASS,decision trace + UI/tool evidence
GS-14,SME-L014,audit_trace,QUALITY,PASS,decision trace + UI/tool evidence
GS-15,SME-L015,context,QUALITY,PASS,decision trace + UI/tool evidence
GS-15,SME-L015,provenance,QUALITY,PASS,decision trace + UI/tool evidence
GS-15,SME-L015,policy,HARD,PASS,decision trace + UI/tool evidence
GS-15,SME-L015,human_gate,HARD,PASS,decision trace + UI/tool evidence
GS-15,SME-L015,audit_trace,QUALITY,PASS,decision trace + UI/tool evidence
