application_id,applicant_type,segment,channel,tat_minutes,document_rework,manual_lookups,memo_minutes,policy_exception,source_reference_missing,bureau_age_days,bank_feed_stale,protected_attribute_present,adjudicated_outcome
APP-0056,legal_entity,small,partner,147,0,0,29,0,0,1,0,0,refer
APP-0057,legal_entity_with_natural_person_guarantor,medium,partner,34,0,6,44,0,0,2,0,0,decline
APP-0058,sole_trader,micro,partner,74,1,1,48,0,0,30,0,0,approve
APP-0059,legal_entity_with_natural_person_guarantor,medium,branch,491,0,4,32,0,0,60,0,1,decline
APP-0060,legal_entity,small,partner,247,1,2,41,0,0,30,0,0,insufficient_evidence
APP-0061,legal_entity,micro,branch,99,0,5,33,0,0,30,0,0,refer
APP-0062,legal_entity,micro,digital,113,0,3,24,0,0,30,0,0,approve
APP-0063,sole_trader,micro,digital,31,0,2,60,0,0,0,1,0,decline
APP-0064,sole_trader,small,branch,123,1,6,35,0,1,7,0,1,decline
APP-0065,sole_trader,medium,digital,133,1,2,52,0,0,1,0,1,insufficient_evidence
APP-0066,sole_trader,medium,digital,85,0,1,37,0,0,0,0,0,insufficient_evidence
APP-0067,legal_entity,medium,digital,136,0,3,30,0,0,30,0,0,decline
APP-0068,legal_entity,micro,branch,152,0,3,83,0,0,60,0,0,refer
APP-0069,legal_entity,small,branch,95,0,4,43,0,0,7,0,0,insufficient_evidence
APP-0070,legal_entity_with_natural_person_guarantor,small,partner,84,1,4,48,0,0,30,0,1,decline
APP-0071,sole_trader,micro,partner,48,0,6,42,0,0,60,0,0,decline
APP-0072,legal_entity_with_natural_person_guarantor,medium,digital,35,0,5,16,0,0,0,0,1,decline
APP-0073,legal_entity,small,digital,102,0,7,48,0,0,60,1,0,decline
APP-0074,legal_entity,small,digital,98,0,3,40,0,0,0,0,0,decline
APP-0075,legal_entity,micro,partner,97,0,4,49,0,0,0,0,0,refer
APP-0076,legal_entity,micro,branch,84,0,4,34,0,0,0,0,0,approve
APP-0077,legal_entity_with_natural_person_guarantor,micro,partner,58,1,0,50,0,0,7,0,1,approve
APP-0078,legal_entity,micro,partner,41,1,1,5,0,0,7,0,0,refer
APP-0079,legal_entity,micro,digital,34,1,4,43,0,0,2,0,0,decline
APP-0080,sole_trader,small,digital,80,1,4,54,0,0,1,0,0,refer
APP-0081,sole_trader,small,partner,162,0,5,42,0,1,60,0,1,insufficient_evidence
APP-0082,legal_entity,micro,partner,97,1,3,45,0,0,2,0,0,refer
APP-0083,sole_trader,medium,partner,90,0,0,33,1,0,1,0,1,approve
APP-0084,legal_entity_with_natural_person_guarantor,small,branch,88,0,3,16,0,0,7,0,1,approve
APP-0085,legal_entity,medium,digital,123,0,2,42,0,1,2,0,0,refer
APP-0086,sole_trader,micro,digital,32,0,3,21,1,0,7,0,0,insufficient_evidence
APP-0087,legal_entity_with_natural_person_guarantor,micro,digital,104,0,1,49,0,0,2,0,0,insufficient_evidence
APP-0088,legal_entity_with_natural_person_guarantor,micro,branch,106,1,6,54,0,0,2,0,0,decline
APP-0089,sole_trader,micro,branch,44,0,1,19,0,0,7,0,0,insufficient_evidence
APP-0090,legal_entity,small,digital,97,1,3,34,0,0,7,0,0,decline
APP-0091,legal_entity,micro,digital,79,0,5,22,0,0,1,0,0,approve
APP-0092,legal_entity,medium,branch,19,0,1,23,0,0,1,0,0,insufficient_evidence
APP-0093,legal_entity,micro,branch,148,1,5,38,0,0,7,0,0,approve
APP-0094,legal_entity,medium,partner,51,0,2,60,0,0,30,0,0,insufficient_evidence
APP-0095,sole_trader,medium,branch,77,0,7,47,0,0,1,0,0,insufficient_evidence
APP-0096,legal_entity_with_natural_person_guarantor,micro,partner,32,1,5,47,0,1,1,0,0,approve
APP-0097,legal_entity,small,branch,121,0,3,41,0,0,2,0,0,decline
APP-0098,legal_entity,micro,digital,29,0,5,31,0,0,2,0,0,approve
APP-0099,legal_entity,micro,branch,265,0,3,26,0,0,7,0,0,insufficient_evidence
APP-0100,legal_entity,micro,branch,36,0,5,50,0,0,1,0,0,insufficient_evidence
APP-0101,legal_entity,small,digital,215,0,3,22,0,0,7,0,0,refer
APP-0102,sole_trader,small,digital,101,1,2,68,0,0,7,0,1,refer
APP-0103,legal_entity_with_natural_person_guarantor,medium,digital,70,0,4,28,0,0,60,0,0,approve
APP-0104,legal_entity,small,digital,166,0,7,36,1,0,1,0,0,approve
APP-0105,legal_entity,micro,partner,127,0,1,27,0,0,7,0,0,approve
APP-0106,sole_trader,micro,digital,85,1,1,44,0,0,7,0,0,refer
APP-0107,legal_entity,small,partner,24,0,5,42,0,0,1,0,0,approve
APP-0108,legal_entity_with_natural_person_guarantor,micro,partner,59,0,6,30,0,0,1,0,0,insufficient_evidence
APP-0109,sole_trader,small,digital,117,0,6,37,0,0,7,0,1,refer
APP-0110,sole_trader,medium,branch,76,0,2,29,0,0,60,0,0,approve
APP-0111,sole_trader,micro,branch,42,1,4,20,0,0,1,0,1,refer
APP-0112,legal_entity,small,branch,132,0,3,45,0,0,2,0,0,insufficient_evidence
APP-0113,sole_trader,medium,partner,27,0,7,44,0,0,30,0,1,approve
APP-0114,sole_trader,small,branch,108,0,3,7,0,0,1,0,0,decline
APP-0115,legal_entity_with_natural_person_guarantor,medium,digital,71,0,1,33,0,0,60,0,0,insufficient_evidence
APP-0116,legal_entity,small,partner,210,0,0,22,0,0,30,1,0,insufficient_evidence
APP-0117,legal_entity,small,partner,74,1,2,31,0,1,0,0,0,refer
APP-0118,legal_entity,medium,partner,158,0,3,46,0,1,30,0,0,refer
APP-0119,sole_trader,medium,branch,180,1,0,35,0,0,60,0,0,approve
APP-0120,sole_trader,medium,digital,34,0,5,52,0,1,1,0,1,decline
APP-0121,legal_entity,small,branch,49,1,1,28,0,0,30,0,0,approve
APP-0122,legal_entity_with_natural_person_guarantor,small,branch,77,0,0,37,0,0,7,0,0,approve
APP-0123,legal_entity,small,partner,63,0,6,37,0,0,0,0,0,decline
APP-0124,legal_entity_with_natural_person_guarantor,small,branch,96,1,1,22,0,0,2,0,0,decline
APP-0125,legal_entity,small,digital,155,0,2,20,0,1,1,0,0,insufficient_evidence
APP-0126,legal_entity,micro,digital,230,0,4,32,0,0,1,0,0,refer
APP-0127,legal_entity,micro,digital,33,0,4,49,0,0,2,0,0,insufficient_evidence
APP-0128,sole_trader,small,partner,151,1,3,50,0,0,2,0,1,insufficient_evidence
APP-0129,legal_entity,micro,digital,230,0,2,21,0,0,2,0,0,decline
APP-0130,sole_trader,medium,partner,226,0,3,40,0,0,1,0,1,approve
APP-0131,legal_entity,medium,partner,86,1,5,53,0,0,60,0,0,decline
APP-0132,legal_entity,micro,branch,74,1,4,49,0,0,60,0,0,insufficient_evidence
APP-0133,legal_entity,micro,partner,202,0,4,47,0,0,1,0,0,insufficient_evidence
APP-0134,legal_entity_with_natural_person_guarantor,medium,partner,47,0,1,42,0,0,2,0,1,approve
APP-0135,legal_entity,small,digital,181,0,7,42,0,0,1,0,0,approve
APP-0136,sole_trader,medium,partner,80,0,3,25,0,0,1,0,0,insufficient_evidence
APP-0137,sole_trader,small,partner,139,0,2,53,1,1,60,0,0,refer
APP-0138,legal_entity_with_natural_person_guarantor,small,digital,56,1,2,35,0,1,1,0,1,decline
APP-0139,legal_entity,small,branch,46,1,0,49,0,0,60,0,0,decline
APP-0140,legal_entity_with_natural_person_guarantor,micro,branch,165,1,4,35,0,0,1,0,1,decline
APP-0141,sole_trader,micro,branch,78,0,5,45,0,0,0,0,0,refer
APP-0142,sole_trader,medium,branch,142,0,5,57,0,0,1,0,1,decline
APP-0143,legal_entity,medium,digital,282,0,0,34,0,0,2,0,0,decline
APP-0144,legal_entity,small,digital,52,1,5,46,0,1,2,0,0,insufficient_evidence
APP-0145,sole_trader,medium,branch,237,1,7,27,0,0,0,0,0,refer
APP-0146,legal_entity,small,digital,118,0,4,29,0,0,1,0,0,refer
APP-0147,sole_trader,small,branch,89,1,5,17,0,0,1,0,1,decline
APP-0148,sole_trader,micro,branch,43,0,3,72,1,0,0,0,1,approve
APP-0149,legal_entity,micro,partner,88,1,6,20,0,0,1,0,0,approve
APP-0150,legal_entity,small,branch,68,0,2,22,0,0,60,0,0,refer
APP-0151,legal_entity,micro,digital,122,1,3,34,0,0,7,1,0,refer
APP-0152,legal_entity,medium,branch,327,0,1,48,0,0,0,0,0,refer
APP-0153,legal_entity_with_natural_person_guarantor,medium,branch,75,1,6,21,0,0,7,0,0,refer
APP-0154,legal_entity,small,branch,36,0,0,31,0,0,2,0,0,approve
APP-0155,sole_trader,small,digital,168,1,7,26,0,1,2,0,1,insufficient_evidence
APP-0156,legal_entity_with_natural_person_guarantor,medium,branch,263,0,6,26,0,1,0,0,0,insufficient_evidence
APP-0157,legal_entity_with_natural_person_guarantor,medium,branch,74,0,1,5,1,1,1,0,0,refer
APP-0158,legal_entity_with_natural_person_guarantor,micro,partner,103,1,0,44,0,0,30,0,0,insufficient_evidence
APP-0159,legal_entity,micro,digital,125,1,5,56,0,0,7,0,0,approve
APP-0160,legal_entity_with_natural_person_guarantor,small,digital,47,1,2,26,0,0,7,0,1,approve
